Title;Note;Description;Éditeur;Date de publication;Nombre de pages
100% Perfect Girl Vol. 5;8.67/10;Sacré Jart… Comment être insensible à son charme et à son rayonnement ? Sûrs de leur amour, Jay et Jart décident de se marier. Hélas, Luigi et Clarence fomentent un complot implacable pour les séparer. Blessée par la défiance de son fiancé, Jay quitte le palais en cachette…;; Kwari; 15/06/2008
100% Perfect Girl Vol. 6;8.78/10;La trahison d'Iron finit en fusillade et Jay est gravement blessée. Fort heureusement, les forces de l'ordre interviennent juste à temps pour la sauver. Mais la haine de Jay grandit et elle n'arrive plus à dessiner à cause du traumatisme qu'elle a subit. L'amour s'efface entre les deux amoureux et laisse place aux disputes incessantes. Jay est désormais persuadée qu'il vaut mieux se séparer que de vivre ce calvaire.;; Kwari; 05/11/2008
100% Perfect Girl Vol. 7;8.9/10;Aveuglé par la vengeance, Iron multiplie les sales coups contre Jart et Jay, mais l'amour entre le couple se consolide de plus en plus. Afin de sauver la vie de Jart, Jay conclut un marché dangereux avec Iron. De son côté, Iron se rend compte que ses sentiment envers Jay n'étaient plus seulement de la haine et il commence à en souffrir...;; Kwari; 30/01/2009
100% Perfect Girl Vol. 8;9/10;Jay vit incognito dans les ruelles sombres de New York, essayant désespérément de fuir une vie qui continue de la traquer. Pourtant, son talent brille et est acclamé par le public. Et même si elle tente de garder son identité anonyme, son travail artistique peut être une piste qui mène directement à sa porte.  Seul son propriétaire fanfaron et surprotecteur semble être ce qui se tient entre Jay et les assassins de classe mondiale. Malheureusement, même s'ils ne parviennent pas à la joindre, de nouvelles conspirations sont lancées et elles visent désormais sa mère, son père et son frère. Maintenant, elle n'a même pas Jarte à qui demander de l'aide. Clarence Ewan ne l'a pas oubliée non plus.;; Ecomix Media; 4600 ₩
100% Perfect Girl Vol. 9;9/10;M. Choi fait du chantage à Jay afin qu'elle fasse quelque chose d'horrible. Elle doit s'envoler pour la France et utiliser tous les moyens nécessaires pour convaincre Jarte, un homme qui la méprise maintenant, de se séparer des actions de la société de Choi. Choi menace de divulguer des informations qui feront tomber toute sa famille en prison si elle échoue. Lennox, son garde du corps assassin, lance son propre ultimatum. Il pense qu'aller en France serait un suicide, et il refuse de protéger Jay si elle est déterminée à se faire du mal.  Tiraillé entre ses loyautés, Jay doit choisir de prendre ou non l'avion pour la France et de retourner dans la fosse aux lions de la politique mondiale. Au dire de tous, Jarte est devenu un dirigeant d'un tout autre genre depuis qu'elle l'a quitté. Certains disent qu'il est devenu un démon. Et comme tous les démons, il pourrait vouloir l'âme de Jay en échange de n'importe quelle faveur qu'elle lui demandera.;; Ecomix Media; 4600 ₩
100% Perfect Girl Vol. 10;9/10;La frénésie médiatique commence tandis que la date du mariage de Jarte et Jay approche rapidement. Pourtant, Jay semble être prête à mourir, se mettant intentionnellement en danger en montant un cheval sauvage. Elle tombe malade. Puis elle continue à perdre mystérieusement du poids. Le médecin du palais fait part à Jarte de la triste vérité : le stress de toutes ses exigences tue Jay. Elle a besoin de repos et de soulagement. Sortant de sa façade de cruauté, Jarte commence immédiatement à la soigner avec douceur afin de lui sauver la vie. Ses tentatives de gentillesse mènent à une longue et belle nuit d'amour et à une révélation des vérités. La veille du jour du mariage, Jay décide de mettre leur amour à l'épreuve en demandant à Jarte de lui offrir l'impossible comme cadeau de mariage... sa confiance.;; Ecomix Media; 4600 ₩
100% Perfect Girl Vol. 11;9/10;Le jour du mariage arrive et la nation de Roinne se réjouit de la célébration. Sous la surface étincelante de la splendeur et du bonheur royal, Jarte arrive à un moment sombre de vérité. Il décide de donner à Jay, une fois pour toutes, les preuves qui pourraient être utilisées pour inculper son père. Et avec elles disparaît la dernière chaîne qui pourrait l'empêcher de le fuir à jamais. Inconnu de tous, leur ancien ennemi juré Clarence Ewan arrive sur les lieux avec de nouvelles intentions. Il kidnappe effrontément Jay le jour de son mariage, prétendant avoir tourné une nouvelle page. Il l'avertit d'un complot d'assassinat contre son futur mari. Le tueur est son ancien tuteur, Lennox, de New York. Jay doit maintenant choisir en qui elle a le plus confiance... un vieil ennemi ou un vieil ami. Le destin de Jarte et du royaume tout entier repose entre ses mains délicates.;; Ecomix Media; 4600 ₩
1000 Yen Hero Vol. 1;-/10;Les kaijūs attaquent ! Mais heureusement pour le peuple japonais, les héros sont là pour les protéger avec des pouvoirs qui tournent à un taux de yen par seconde. Pour Hiasa Sen, un étudiant ordinaire du secondaire qui vit seul avec sa petite sœur, il y a des choses beaucoup plus importantes à craindre, comme subvenir aux besoins de lui et de sa petite sœur. Cependant, lorsque le danger approche, il a son propre pouvoir secret qui peut être plus problématique que ça...;; Shogakukan; 607 ¥
1000 Yen Hero Vol. 2;-/10;N/C;; Shogakukan; 607 ¥
1000 Yen Hero Vol. 3;-/10;N/C;; Shogakukan; 607 ¥
1000 Yen Hero Vol. 4;-/10;N/C;; Shogakukan; 607 ¥
1000 Yen Hero Vol. 5;-/10;N/C;; Shogakukan; 607 ¥
1000 Yen Hero Vol. 6;-/10;N/C;; Shogakukan; 607 ¥
1000 Yen Hero Vol. 7;-/10;N/C;; Shogakukan; 607 ¥
1000 Yen Hero Vol. 8;-/10;N/C;; Shogakukan; 607 ¥
1000 Yen Hero Vol. 9;-/10;N/C;; Shogakukan; 607 ¥
1000 Yen Hero Vol. 10;-/10;N/C;; Shogakukan; 607 ¥
1000 Yen Hero Vol. 11;-/10;N/C;; Shogakukan; 607 ¥
1000 Yen Hero Vol. 12;-/10;N/C;; Shogakukan; 607 ¥
1000 Yen Hero Vol. 13;-/10;N/C;; Shogakukan; 607 ¥
1001 Knights Vol. 1;-/10;Naito et Yuta sont des jumeaux au caractères bien distincts. Le premier est assidu et fin tandis que le second est athlétique et se bagarre souvent. Malgré ces différences ils entretiennent une relation étroite. Cependant, un jour leur père disparaît, de ce fait ils partent à sa recherche et se rendent à Dubaï. Là bas, un étrange marchant ambulant les expédient dans le monde des Milles et Une Nuits.;; Kadokawa Shoten; 616 ¥
1001 Knights Vol. 2;-/10;N/C;; Kadokawa Shoten; 616 ¥
1001 Knights Vol. 3;-/10;N/C;; Kadokawa Shoten; 616 ¥
1001 Knights Vol. 4;-/10;N/C;; Kadokawa Shoten; 616 ¥
1001 Knights Vol. 5;-/10;N/C;; Kadokawa Shoten; 616 ¥
1001 Knights Vol. 6;-/10;N/C;; Kadokawa Shoten; 638 ¥
1001 Knights Vol. 7;-/10;N/C;; Kadokawa Shoten; 638 ¥
1001 Knights Vol. 8;-/10;N/C;; Kadokawa Shoten; 638 ¥
1001 Knights Vol. 9;-/10;N/C;; Kadokawa Shoten; 638 ¥
1001 Knights Vol. 10;-/10;N/C;; Kadokawa Shoten; 638 ¥
103ème escadrille de chasse Vol. 1;10/10;Le Sous-lieutenant Matsumoto, pilote de chasse de l'Armée impériale japonaise, affronte les forces aériennes alliées à bord de son Kawasaki Ki-61 «Hien» (Tony) au-dessus des Solomons, des Nouvelle-Guinée et des Philippines. Face aux adversaires, toujours supérieurs en nombre, il survit aux combats acharnés grâce à son intelligence ainsi qu'à l'aide du chef d'escadrille Ozawa et de son mécanicien Hino. Sa dernière mission sera d'escorter les avions Kamikaze au large des Philippines...;; Paquet (Cockpit); 30/06/1998
10th Vol. 1;7.59/10;Také est souvent absent à cause de son asthme. Un jour, lors d'une crise, un élève de sa classe, Macchan, vient à son secours. À partir de là, Také sympathise avec lui, et c'est tout naturellement qu'il commence à être attiré par lui. Par ailleurs, l'amie d'enfance de Také, Umeko, tombe aussi amoureuse de Macchan en découvrant sa gentillesse...  Comment va se passer cette histoire d'amour triangulaire entre deux amis d'enfance et le garçon le plus populaire de la classe ?!;; Kana (Shojo); 09/08/2019
10th Vol. 2;8.6/10;Také, Umeko et Macchan sont dans la même classe et ils s'entendent très bien. Také et Umeko sont également amis d'enfance et rivaux amoureux, car ils craquent tous les deux pour Macchan.  Les trois lycéens sont désormais en année de première. Také change petit à petit pour tenter de surmonter sa maladie.  Il participe de plein gré à la fête du sport qu'il avait toujours évitée jusque là. En voyant Také ainsi, Umeko, qui l'avait toujours soutenu, sent naître un trouble dans son cœur.;; Kana (Shojo); 11/01/2020
10th Vol. 3;8.82/10;Také, Umeko et Macchan sont trois camarades de classe qui s'entendent très bien. Také et Umeko sont également amis d'enfance et il étaient tous les deux amoureux de Macchan.  Cependant, les sentiments d'Umeko évoluent et elle fait une déclaration d'amour à Také ! La relation entre les deux amis change peu à peu...;; Kana (Shojo); 11/08/2020
11-gatsu demo Hanabi Vol. 1;-/10;11-gatsu demo Hanabi est un recueil de plusieurs histoires courtes mettant en scène différentes romances entre adolescents.; Kodansha; 10/11/1981; N&B
1122 Vol. 1;-/10;1122 (« Ii Fuufu ») suit le quotidien d'un couple qui célèbre ses sept ans de mariage et qui traverse une petite crise : en effet, leur libido est légèrement en berne...;; Kodansha; 704 ¥
1122 Vol. 2;-/10;N/C;; Kodansha; 704 ¥
1122 Vol. 3;-/10;N/C;; Kodansha; 704 ¥
1122 Vol. 4;-/10;N/C;; Kodansha; 704 ¥
1122 Vol. 5;-/10;N/C;; Kodansha; 704 ¥
1122 Vol. 6;-/10;N/C;; Kodansha; 704 ¥
1122 Vol. 7;-/10;N/C;; Kodansha; 704 ¥
11eyes - Tsumi to Batsu to Aganai no Shoujo Vol. 1;-/10;Satsuki Kakeru a perdu sa sœur aînée, il y a cinq ans de cela. Depuis il tente de revenir à une vie normale, il a aussi une amie d'enfance, Minase Yuka qui va dans la même école secondaire que lui et qui depuis essaie de lui rendre sa joie d'autrefois...  Un jour, le ciel changea de couleur, il vira au rouge et la lune devint noire, tous les gens disparurent à part eux. Depuis lors, Kakeru et Yuka, luttent tous deux contre les monstres apparus à la place des gens et découvrent que six personnages seraient la cause de ce phénomène mystérieux...;; Kadokawa Shoten; 638 ¥
11eyes - Tsumi to Batsu to Aganai no Shoujo Vol. 2;-/10;N/C;; Kadokawa Shoten; 638 ¥
11eyes - Tsumi to Batsu to Aganai no Shoujo Vol. 3;-/10;N/C;; Kadokawa Shoten; 638 ¥
12 ans Vol. 1;7.5/10;Hanabi a douze ans, l'âge où l'on n'est plus une enfant, mais pas encore une adulte, où l'on se rend compte avec embarras qu'on n'a pas encore embrassé un garçon quand on surprend deux de ses professeurs à s'embrasser en cachette, et l'âge où notre amie nous apprend qu'elle a ses règles alors qu'on attend toujours. De son côté, Yui, la meilleure amie d'Hanabi, jeune fille sérieuse et un peu effacée, tombe amoureuse d'un garçon de sa classe qui n'arrête pourtant pas de l'embêter…;; Glénat (Shojo); 01/03/2013
12 ans Vol. 2;7.83/10;Hanabi a douze ans et pour la toute première fois, un petit copain, mais elle n'y connaît rien en amour et ne sait jamais ce qu'elle est censée faire. Sans compter les garçons de la classe qui ne pensent qu'à des trucs cochons et ses amies qui se mettent à porter des soutiens-gorge… C'est alors qu'un nouvel élève, un garçon aux cheveux clairs venu de Tokyo, intègre la classe…  Avec en bonus, une histoire courte sur Hanabi, Hiyama et leurs téléphones portables.;; Glénat (Shojo); 01/07/2013
12 ans Vol. 3;8.58/10;Depuis l'arrivée dans la classe de Tsutsumi, un garçon qu'Hanabi connaissait dans son enfance, cette dernière essaye tant bien que mal de se montrer amicale avec lui. Seulement, quand ce dernier lui déclare qu'il ne la voit pas comme une amie, Hanabi ne sait pas comment réagir. De son côté, Takao s'est rendu compte des sentiments de Tsutsumi à l'égard d'Hanabi…;; Glénat (Shojo); 29/11/2013
12 ans Vol. 4;7.13/10;Hanabi et Yui ont douze ans et un petit ami pour la toute première fois. Au travers de leurs relations avec leurs camarades de classe, elles apprennent à naviguer dans toutes sortes de situations romantiques. Cette fois, c'est au tour de Yui d'avoir un grave problème : elle ne veut surtout pas qu'Hiyama la voie avec un bouton sur la figure et fait en sorte de l'éviter tout le temps. Inquiet de cette attitude étrange, Hiyama insiste pour qu'elle le regarde en face. Seulement, leurs lèvres entrent en contact par accident…;; Glénat (Shojo); 01/07/2014
12 ans Vol. 5;6.67/10;Hanabi est à un âge difficile, celui où on vous traite parfois comme une enfant et parfois comme une adulte. Elle passe des déclarations de son petit ami le jour de la visite parentale à des soucis de déodorant… Quant à Yui, les mots d'Hiyama font chanceler son cœur…;; Glénat (Shojo); 30/10/2014
12 ans Vol. 6;7.38/10;C'est dur quand on a 12 ans est qu'on est amoureuse pour la première fois. En réalisant que les promesses ne sont pas pour toujours, Hanabi plonge dans la confusion. D'un autre côté, Kako, une élève de la classe voisine, apprend par une rumeur qu'un garçon d'une autre classe serait amoureux d'elle… Quant à Yui, elle est troublée en réalisant que son corps est en train de changer, avant de passer la visite médicale et de mesurer sa taille.;; Glénat (Shojo); 27/02/2015
12 ans Vol. 7;6.5/10;Yui est troublée par son entrée dans l'adolescence. Elle sort au planétarium avec Hiyama et y tombe par hasard sur Inaba, qui une fois de plus tente un mauvais coup pour passer plus de temps avec elle. Hanabi, de son côté, a promis d'aller voir le feu d'artifice avec Takao…;; Glénat (Shojo); 25/07/2015
12 ans Vol. 8;6.83/10;Yui, 12 ans, tente de se conduire en adulte et s'efforce de ne pas se plaindre de sa solitude, surtout après que son père lui demande si elle aimerait avoir une nouvelle maman… Hiyama et Inaba se rendent compte de ce qu'elle ressent, mais réagissent chacun de façon différente. C'est aussi l'arrivée de Kako, une nouvelle héroïne extrêmement timide et amoureuse d'un garçon de la classe voisine. Non seulement elle peine à lui parler, mais le fait qu'il se trouve dans une autre classe est un obstacle difficile à surmonter pour elle.;; Glénat (Shojo); 25/12/2015
12 ans Vol. 9;7/10;Kako est très timide pour son âge. Elle est secrètement amoureuse de Kohinata, un garçon de la classe voisine. Petit à petit, elle passe à l'action, comme le jour où il l'invite à une fête d'Halloween chez lui. Mais dans l'ombre, un autre amour est en train de naître…  Pendant ce temps, la mode est au mariage dans la classe d'Hanabi… et nous revoyons Yui et Hiyama dans une chaleureuse histoire courte.;; Glénat (Shojo); 27/04/2016
12 ans Vol. 10;7.2/10;Le futur mariage de sa prof fait réfléchir Hanabi à son propre futur. Elle admire ses camarades qui ont un rêve ou un but précis pour l'avenir et elle s'inquiète de se sentir en retard par rapport à eux. Pendant ce temps, l'ami de Takao, Shibuya, met au point un plan pour le forcer à se séparer d'Hanabi. Yui, de son côté, voyage seule pour la première fois… mais voilà que tout d'un coup Hiyama apparaît dans le train pour l'accompagner !;; Glénat (Shojo); 29/11/2016
12 ans Vol. 11;8.33/10;Le mariage de la prof est enfin arrivé ! Quel est donc le rêve d'Hanabi pour l'avenir ? De son côté, Kako vit un amour à sens unique avec Taiyo de la classe voisine, dont elle se rapproche petit à petit. Mais, dans l'ombre de leur relation, un autre amour poursuit discrètement sa route… Voici le tome 11 de la série populaire, dessinée par une adulte, sur la pureté des tourments et des émois des premières amours de jeunes filles de 12 ans.;; Glénat (Shojo); 01/03/2017
12 ans Vol. 12;8.5/10;La timide Kako apprend de mieux en mieux à connaître Taiyo, sous le regard de Minami, qui est amoureux d'elle en secret. Lorsque Taiyo demande à Kako si elle aime quelqu'un, Minami qui finit par réagir…  Yui, de son côté, se met à s'en faire non seulement pour la façon dont son corps change en grandissant, mais aussi pour la façon dont la maturité affecte les garçons. Pendant ce temps, Takao se souvient de la façon dont il est tombé amoureux d'Hanabi, l'année précédente.;; Glénat (Shojo); 21/07/2017
12 ans Vol. 13;7.8/10;Yui est si sérieuse qu'elle se force souvent à tout supporter sans rien dire. Hiyama, qui en a conscience, se met en colère et lui dit qu'elle n'a pas besoin de se conduire de cette façon devant lui. Mais peu après, le père de Yui s'effondre... Quant à Minami et Sora, comment sont-ils devenus amis avant de rencontrer Kako ?;; Glénat (Shojo); 29/11/2017
12 ans Vol. 14;9.33/10;Les regards de Minami vers Kako font croire à Sora qu'il est amoureux d'elle, sans réaliser que ce n'est pas elle qu'il regarde avec autant d'attention. Sora décide pourtant de lui faire une déclaration, un geste qui risque de sérieusement chambouler notre rectangle amoureux. De son côté, le père de Yui est rentré de l'hôpital. Après une visite au cimetière sur la tombe de la mère de Yui, la relation de cette dernière avec Hiyama s'approfondit encore.;; Glénat (Shojo); 30/03/2018
12 ans Vol. 15;9/10;Kako et Sora, meilleures amies du monde, sont toutes les deux amoureuses. Sora s'imagine qu'Eita partage ses sentiments, mais elle réalise que c'est de Kako qu'il est amoureux. Le choc est tel qu'elle se dispute avec Kako, mais cette dernière est bien décidée à se réconcilier avec son amie. Encouragée par Kohinata, elle passe à l'action. Du côté de Yui et Hiyama, c'est la première Saint-Valentin depuis qu'ils sont ensemble, une journée qui va faire battre les cœurs...;; Glénat (Shojo); 01/08/2018
12 ans Vol. 16;10/10;Depuis qu'ils se sont embrassés, Yui et Hiyama ne savent pas comment se comporter l'un envers l'autre, mais ils finissent par arriver à communiquer clairement et décident de passer un après-midi ensemble.  Kako, de son côté, s'est enfin résolue à dire à Taiyo qu'elle l'aime, mais ce n'est pas si facile…;; Glénat (Shojo); 27/02/2019
12 ans Vol. 17;-/10;Kako a décidé d'avouer ses sentiments à Taiyo, mais ce dernier vient de découvrir que Minami, son meilleur ami, est amoureux d'elle, lui aussi. Comment Kako va-t-elle pouvoir lui dire ce qu'elle ressent ?  Pendant ce temps, Hanabi et Takao filent le parfait amour !;; Glénat (Shojo); 01/07/2019
12 ans Vol. 18;-/10;Kako réussit finalement à dire à Taiyo qu'elle l'aime. Mais quelle sera sa réponse ?  De leur côté, Hanabi et Yui se demande quoi porter pour la cérémonie de fin de primaire qui s'approche à grands pas. Hanabi apprend que Takao, qui doit passer des examens pour entrer au collège, va aller dans un autre établissement qu'elle...;; Glénat (Shojo); 31/10/2019
12 ans Vol. 19;-/10;Avant le jour de la cérémonie de remise des diplômes, Hanabi décide de faire le tour de ses souvenirs, tandis que Yui, Kako et Sora font face à leurs propres amours.  Le jour de la cérémonie enfin arrivée, une seule élève semble manquer à l'appel...;; Glénat (Shojo); 26/12/2019
12 ans Vol. 20;10/10;Après avoir quitté l'école primaire, Hanabi, Yui, Kako et leurs amis font leur entrée au collège du coin. Certains se retrouvent dans les mêmes classes, tandis que d'autres sont séparés et entament de nouvelles amitiés. Hanabi, qui n'est pas dans le même collège que Takao, s'inquiète de ne pas pouvoir le voir... Une série d'histoires bonus pour découvrir ce qui arrive aux protagonistes de 12 ans !;; Glénat (Shojo); 01/07/2020
12 Beast Vol. 1;-/10;Trois choses à savoir sur Touga Eita, élève de deuxième année du secondaire et héritier du dojo ninjutsu du style Touga. D'abord, il aime vraiment beaucoup les jeux vidéo. Deuxièmement, lorsqu'il aura le choix entre des exploits et sauver sa propre peau, il choisira toujours cette dernière option. Troisièmement, il n'a jamais embrassé une fille.  Tout cela change quand une fille voluptueuse aux ailes et pieds talonnés, nommée Aero, appelle Eita pour aider à sauver son peuple, les harpies de Re-Verse de l'assaut sans merci de monstres robots gigantesques appelés Gigas. Eita suivra sa nouvelle amie harpie dans un tout nouveau monde, rempli de filles-monstres et de créatures fantastiques au-delà de ses rêves les plus fous.;; Fujimi Shobo; 164
12 Beast Vol. 2;-/10;Le lycéen accro aux jeux et ninja réticent, Touga Eita, a brisé son gant magique en chassant les Gigas de la colonie des harpies.  Pour y remédier, Eita, Aero et Jawea doivent rechercher le mystérieux forgeron du labyrinthe. Rempli de pièges vicieux, d'anciens trésors et d'une curieuse race de minotaures, Eita est prêt pour l'exploration de ce donjon.;; Fujimi Shobo; 164
12 Beast Vol. 3;-/10;Soleil, sable et filles en bikini jouant au volley-ball, c'est le rêve d'Eita qui va devenir réalité! Hormis un petit détail, ces filles sont à moitié animaux.  La fantaisie d'Eita sur la plage se dissout rapidement en un cauchemar lorsqu'un calmar géant se présente, apportant ses vilaines tentacules à la fête. Trop tôt, Eita, Aero, Jawea et Asterio doivent quitter leur paradis pour aller à la recherche de Steela, la sorcière des profondeurs. Mais d'abord, Eita doit encore affronter son adversaire le plus coriace: le diabolique Angler!;; Fujimi Shobo; 164
12 Beast Vol. 4;-/10;Alors qu'Indra, le serpent des douze généraux divins, s'approche du centre-ville, Eita est confronté à la décision la plus difficile de sa vie. Devrait-il rejoindre la population dans leur combat, un conflit qui n'a rien à voir avec lui et où les gens ne veut même pas son aide ou devrait-il faire une retraite stratégique? Comme si ce n'était pas un choix assez difficile, Steela, la sorcière des profondeurs, informe Eita qu'il sera bientôt contraint de prendre une décision encore plus fatidique!;; Fujimi Shobo; 164
12 Beast Vol. 5;-/10;LE JEU LE PLUS DANGEREUX  Eita a un plan pour éliminer l'armée d'invasion et ses Gigas, mais ne tient pas compte du général divin Vajra the Dog, ni de son chauffeur, Hunter le tireur d'élite. Lorsque la contre-attaque de Hunter provoque l'effondrement d'un mur de glace, piégeant Eita seul dans une grotte avec la «louve solitaire» Freki, la situation commence à chauffer… et tous deux découvrent un allié inattendu.  Le chasseur devient le chassé dans le volume 5 de cette monstrueuse aventure fantastique!;; Fujimi Shobo; 164
12 Beast Vol. 6;-/10;UN NOUVEAU JEU  Eita et Freki ont fusionné pour former le gant Fang! Maintenant, ils doivent comprendre comment utiliser ces capacités uniques pour vaincre Hunter et ses puissants Gigas et protéger les loups-garous, le tout sans se tuer mutuellement!;; Fujimi Shobo; 164
12 Beast Vol. 7;-/10;Eita, qui a été capturé, est choqué par un joueur qui dit que tout est un jeu, même s'il est la même personne sur le terrain.  Il réussit à s'échapper, mais la Centauresse et la Lamia sont toujours au milieu d'un piège. Quel type de stratégie vont-ils utiliser pour surmonter cette situation difficile?;; Fujimi Shobo; 164
12 Kounen no Motoko Vol. 1;-/10;N/C; Shueisha; 12/1990; N&B
12 mois Vol. 1;6.67/10;Préfecture de Mérino. Là vivent Tosachi, une jeune fille joyeuse et pleine d'entrain, Dorimi, son amie déléguée de classe, et Merimo, une jeune fille qui a la particularité d'avoir des ailes sur le dos. Au début du printemps, un garçon nommé Shu arrive d'une autre école. Tosachi est troublée et sens naître tout au long de l'été des sentiments amoureux pour celui-ci. Mais à la fin de l'été, au cours d'une partie de cache-cache, le beau Shu embrasse Dorimi. Lorsque Tosachi s'aperçoit de leur idylle, c'est le drame. Elle découvre alors à la fois l'amour à sens unique et le sentiment de jalousie. Mais à l'automne, le couple amoureux rencontre des difficultés. Tosachi y voit une occasion de défaire leurs liens...;; Delcourt (Sakura); 15/04/2002
12 mois Vol. 2;6.67/10;Dans la préfecture de Merino, une nouvelle année commence pour nos trois jeunes filles et leurs amis. Tosachi est toujours autant torturée par la jalousie, Dorimi n'arrive pas à exprimer ce qu'elle a sur le cœur et Merino ne comprend pas ce qu'est l'amour. Bercés par le rythme des saisons, les sentiments évoluent et s'éveillent au printemps.;; Delcourt (Sakura); 15/04/2003
13 Vol. 1;10/10;Ce manga raconte l'histoire d'une vengeance entre un garçon, Mondo Fujieda issus d'une famille d'assassins et une jeune fille Izayo Gorugo, autrefois amoureux...; Shueisha; 04/02/2008;
13 club Vol. 1;10/10;Première histoire - Stigmate : Un reporter de guerre dans un pays en guerre civile reçoit de mystérieuses indications par SMS lui indiquant où vont se produire les prochains attentats.  Deuxième histoire - Jugement : Un NEET reçoit une offre lui proposant de devenir le juré d'un comité qui décidera du sort de divers criminels.  Troisième histoire - Enquête : Pour honorer les dernières paroles de son ami mort au combat, Haji se rend à la résidence familiale afin de protéger l'une de ses sœurs qui serait en danger.;; Shueisha; 194
13 club Vol. 2;10/10;Quatrième histoire - RMT : En rencontrant Kudan, Kazuma se voit proposer de jouer à un jeu mobile dont les objets rares peuvent être échangés contre de l'argent réel.  Cinquième histoire - Sourire : Troublée par sa santé et les sentiments qu'elle n'ose pas exprimer par peur de blesser ses amis, Yuuki accepte d'utiliser un téléphone capable de réaliser tous ses vœux.;; Shueisha; 190
14 Kagetsu - Tsuma ga Kodomo ni Kaette iku Vol. 1;-/10;Yuko Igarashi est une présentatrice indépendante qui doit désormais faire face à ce qu'avoir 35 ans signifie dans sa carrière professionnelle et dans sa vie personnelle, notamment après qu'elle ait fait une fausse couche. Déprimée, Yuko prend un médicament dont on dit qu'il serait capable de faire rajeunir. D'abord sceptique, elle ne va pas tarder à en ressentir les effets... Tandis qu'elle rajeunit de plus en plus vite, elle et son mari vont faire de leur mieux pour tenter de stopper le processus.; Shueisha; 19/01/2004; 170
14-sai no Koi Vol. 1;8.5/10;"Kanata et Kazuki sont considérés comme matures par leurs camarades aussi bien à cause de leur physique que de leur comportement. Mais pour eux ce n'est qu'un acte, quand ils se retrouvent tous les deux seuls, ils redeviennent aussi ""immatures"" que leurs camarades. Mais alors qu'ils sont en charge des corvées de la journée ensemble ils se rendent compte que c'était leur côté enfantin qui n'était qu'un acte et non l'inverse. Ils vont donc commencer à se voir d'une façon plus romantique et moins amicale...";; Hakusensha; 785 ¥
14-sai no Koi Vol. 2;8.33/10;Kazuki et Kanata sont maintenant passé de copain et copine à petit ami et petite amie. Mais avec leur amour, vient des émotions intenses, pour garder leurs réputations d'étudiants modèles, ils doivent apprendre à supprimer ces sentiments sincères ou courir le risque de se faire prendre main dans la main.;; Hakusensha; 785 ¥
14-sai no Koi Vol. 3;8.33/10;Kazuki et Kanata s'opposent involontairement l'un à l'autre au cours d'une querelle entre les filles et les garçons de leur classe. Leur relation naissante est ainsi mise à l'épreuve lorsque les sentiments personnels entre en conflit avec l'attitude mature qu'ils montrent. Kanata et Kazuki peuvent-ils se réconcilier tout en maintenant leur réputation ?;; Hakusensha; 785 ¥
14-sai no Koi Vol. 4;8.33/10;Kazuki et Kanata ont une réputation d'étudiants matures. C'est la période de l'année où le changement de l'uniforme d'hiver à l'uniforme d'été est conseillé. Mais ce jour-là malgré la grande chaleur, Kanata porte toujours son uniforme d'hiver...;; Hakusensha; 785 ¥
14-sai no Koi Vol. 5;7/10;N/C;; Hakusensha; 785 ¥
14-sai no Koi Vol. 6;-/10;N/C;; Hakusensha; 785 ¥
14-sai no Koi Vol. 7;-/10;N/C;; Hakusensha; 785 ¥
14-sai no Koi Vol. 8;-/10;N/C;; Hakusensha; 785 ¥
14-sai no Koi Vol. 9;-/10;N/C;; Hakusensha; 785 ¥
14-sai no Koi Vol. 10;-/10;N/C;; Hakusensha; 785 ¥
14-sai no Koi Vol. 11;-/10;N/C;; Hakusensha; 792 ¥
14-sai no Koi Vol. 12;10/10;N/C;; Hakusensha; 792 ¥
14-sai to Illustrator Vol. 1;-/10;Yuto Kyobashi est un illustrateur de light novels qui a un gros fétiche pour les nombrils de femmes. Il adore les dessiner et les observer ! Il fait alors la rencontre de Nonoka Nogi, une jeune cosplayeuse de 14 ans, fan de son travail, qui va commencer à l'aider à son quotidien dans ses tâches ménagères.;; Cygames; 660 ¥
14-sai to Illustrator Vol. 2;-/10;Yuto Kyobashi, en pleine ascension, part en voyage dans une source chaude en compagnie de sa jeune amie cosplayeuse de 14 ans et d'une belle écrivaine blonde. Mais pas de repos de prévu, car ce voyage sera riche en émotions !;; Cygames; 660 ¥
14R Vol. 1;8/10;Recueil comprenant 5 histoires :  1) 14R :  Kawamura Tamaki a 14 ans et est vu comme une représentante de classe très sérieuse, par tout le monde. Elle peut aussi tomber amoureuse et ...?!  2) Mahiru ni Kakedasu  3) Watakushi-sama  4) Koi wo Hajimeru Bokutachi ni  5) Daily News :  Deux jumelles se soutiennent mutuellement, mais un garçon peut-il les séparer?; Shueisha; 14/09/2007; 216
15 : Meisetsu Technical High School Rugby Football Club Vol. 1;10/10;Depuis qu'il est petit, Akira souhaite devenir un joueur de rugby. Mais comme il vit sur une île minuscule sans autres enfants, il lui était très difficile d'apprendre à jouer. Dans l'espoir de devenir utile à une équipe de rugby, il exerça alors la seule chose qu'il pouvait faire par lui-même, s'entraîner aux coups de pied. Maintenant Akira quitte son île pour s'inscrire au lycée et essayer de réaliser son rêve : jouer au rugby et se faire des amis.;; Square Enix; 618 ¥
