Title;Note;Description;Éditeur;Date de publication;Nombre de pages
"""Kimi wo Aisuru kiwanai"" to Itta Jiki Koushaku-sama ga Naze ka Dekiai Shite kimasu Vol. 1";-/10;"Elsa, fille d'un aristocrate déchu, reçoit une demande en mariage de Julius, un aristocrate d'élite. ""Pourquoi un homme si noble m'épouserait-il?"", Elsa est perplexe, mais après le mariage Julius, qui jusque-là avait été gentil et doux, changea ...";; Flex Comix; 770 ¥
"""Kimi wo Aisuru kiwanai"" to Itta Jiki Koushaku-sama ga Naze ka Dekiai Shite kimasu Vol. 2";-/10;N/C;; Flex Comix; 770 ¥
"""Kimi wo Aisuru kiwanai"" to Itta Jiki Koushaku-sama ga Naze ka Dekiai Shite kimasu Vol. 3";-/10;N/C;; Flex Comix; 803 ¥
"""Kukuku....... Yatsu wa Shiten no no Naka demo Saijaku"" to Kaikosareta Ore, Naze ka Yuusha to Seijo no Shisho ni Naru Vol. 1";-/10;Capsodia, le scorpion de la mort, a été surnommé le « plus faible » et a été chassé de son poste de l'un des quatre monarques célestes de l'armée du seigneur démon. Il prévoyait de se cacher sur le territoire des humains jusqu'à ce que les choses s'apaisent un peu, mais il est devenu idolâtré par Pafimia, une héroïne aux oreilles d'animal, et Sharon, une sainte de la taille d'une pinte...;; Kodansha; 715 ¥
"""Kukuku....... Yatsu wa Shiten no no Naka demo Saijaku"" to Kaikosareta Ore, Naze ka Yuusha to Seijo no Shisho ni Naru Vol. 2";-/10;N/C;; Kodansha; 715 ¥
"""Kukuku....... Yatsu wa Shiten no no Naka demo Saijaku"" to Kaikosareta Ore, Naze ka Yuusha to Seijo no Shisho ni Naru Vol. 3";-/10;N/C;; Kodansha; 715 ¥
"""Mi"" Seijuku Vol. 1";8.5/10;Chiaki, étudiante à l'université, décide de quitter la maison à cause de sa mauvaise relation avec sa belle-mère. Elle commence à travailler dans un club d'hôtesse pour gagner de l'argent. Un jour, elle retrouve son premier amour, Haya-kun au travail ...;; Shueisha; 484 ¥
"""Mi"" Seijuku Vol. 2";-/10;N/C;; Shueisha; 484 ¥
"""Mi"" Seijuku Vol. 3";-/10;N/C;; Shueisha; 484 ¥
"""Mi"" Seijuku Vol. 4";-/10;N/C;; Shueisha; 484 ¥
"""Mi"" Seijuku Vol. 5";-/10;N/C;; Shueisha; 506 ¥
"""Mi"" Seijuku Vol. 6";-/10;N/C;; Shueisha; 506 ¥
"""Mi"" Seijuku Vol. 7";-/10;N/C;; Shueisha; 506 ¥
"""Mou ... Hatarakitakunaindesu"" Boukensha Nanka Yamete Yaru. Imasara, Taiguu wo Kaerukara to Onegai Sarete mo Okotowaridesu. Boku wa Zettai Hatarakimasen. Vol. 1";-/10;"Aix est un aventurier de rang E de 19 ans. Mage prodige dont la spécialisation est dans ""l'extension du durée d'effet.""  Aix a passé les cinq dernières années à travailler comme un esclave 24 heures sur 24 tout au long de la semaine. Quand il s'effondre d'épuisement et se réveille sur le pas de sa porte, il finit par se réconcilier avec lui-même. ""Je vais quitter ce travail!""  Après avoir quitté son travail d'aventurier, Aix a annoncé qu'il ne travaillerait plus. Les personnes qui avaient profité des avantages de la cause magique novice d'Aix, ont paniqué lorsqu'elles ont réalisé qu'il n'y avait personne pour le remplacer, mais il était trop tard. Il a souri et a refusé toutes les menaces et tentatives de le contraindre.  ""Je ne travaillerai plus !"""; Square Enix; 12/01/2022; 176
"""Sensei, Oshiete."" Vol. 1";-/10;Ce premier volume contient les histoires suivantes :  1. Inochi no Kiss 2. Hokenshitsu no Himitsu 3. Mokuyoubi, Dai ni Souko de 4. Hakui no Mahou;; Kodansha; 471 ¥
"""Sensei, Oshiete."" Vol. 2";-/10;Ce second volume contient les histoires suivantes :  1. Watashi wo Mite 2. Onee-chan no Kare 3. sweet&bitter 4. Top Secret;; Kodansha; 471 ¥
"""Shinu kurai nara Kaisha Yamereba"" ga dekinai Wake Vol. 1";-/10;N/C; Asa Shuppan; 10/04/2017; N&B
"""Tarte Tatin"" no Kataomoi Vol. 1";-/10;Ce que j'aime le plus au monde, c'est préparer des gâteaux pour mes proches. J'espère un jour pouvoir concevoir le meilleur gâteau au monde ! C'est dans cette optique que j'ai déniché un emploi à temps partiel qui me permet d'exercer ma passion. Mais je ne m'attendais absolument pas à y trouver l'amour...; Kodansha; 11/11/1991; 191
[Kyuubo] Suterareteta Dragon Hirotta [Kaikata] Vol. 1;5/10;Tetsu est un lycéen tout à fait normal dont le seul bon point est sa ténacité. Un jour, il trouve un lézard qui se révèle être un dragon super rare !? Ne sachant pas comment élever son dragon, il se tourne vers Internet. Cependant, sa promenade avec son dragon super rare est un sujet tendance. Quel genre de bouleversements insensés cela apportera-t-il dans sa vie ...?;; EARTH STAR Entertainment; 660 ¥
[Kyuubo] Suterareteta Dragon Hirotta [Kaikata] Vol. 2;-/10;N/C;; EARTH STAR Entertainment; 660 ¥
[Kyuubo] Suterareteta Dragon Hirotta [Kaikata] Vol. 3;-/10;N/C;; EARTH STAR Entertainment; 660 ¥
[Kyuubo] Suterareteta Dragon Hirotta [Kaikata] Vol. 4;-/10;N/C;; EARTH STAR Entertainment; 660 ¥
[Shinyaku] Mahou Shoujo Oriko Magica - Sadness Prayer Vol. 1;9.67/10;Une nouvelle Puella Magi nommée Komaki Asako, accompagnée de deux amies, fait la rencontre d'Oriko Mikuni. Les deux filles se trouvent être dans la même école et vont peu à peu devenir amies.  Le passé entre Oriko et Kirika Kure est dévoilé et montre ainsi pourquoi les deux jeunes filles se sont alliées.;; Houbunsha; 162
[Shinyaku] Mahou Shoujo Oriko Magica - Sadness Prayer Vol. 2;9.5/10;Oriko considère son utilisation de Kirika contre d'autres magical girls comme un moyen justifiable d'atteindre un objectif plus large : protéger le monde de la force destructrice de Walpurgisnacht.  Cependant, leur arrangement a éveillé l'intérêt d'une autre magical girl, qui a ses propres raisons de vouloir une tueuse comme Kirika.;; Houbunsha; 162
[Shinyaku] Mahou Shoujo Oriko Magica - Sadness Prayer Vol. 3;9.5/10;Grâce à son pouvoir de prévoyance, Oriko Mikuni voit dans le futur de Mitakihara, utilisant Kirika Kure pour chasser d'autres magical girls. Que veut Oriko aux filles qui sont en contact avec Madoka ?;; Houbunsha; 162
[Shinyaku] Mahou Shoujo Oriko Magica - Sadness Prayer Vol. 4;9.5/10;L'histoire d'Oriko Mikuni s'achève dans ce dernier volume de la série.;; Houbunsha; 162
[Shuufuku] Sukiru ga Bannou Chiito-ka Shitanode, Buki-ya demo Hirakou ka to Omoimasu Vol. 1;-/10;N/C;; Hakusensha; 715 ¥
[Shuufuku] Sukiru ga Bannou Chiito-ka Shitanode, Buki-ya demo Hirakou ka to Omoimasu Vol. 2;-/10;N/C;; Hakusensha; 715 ¥
[Shuufuku] Sukiru ga Bannou Chiito-ka Shitanode, Buki-ya demo Hirakou ka to Omoimasu Vol. 3;-/10;N/C;; Hakusensha; 715 ¥
[Shuufuku] Sukiru ga Bannou Chiito-ka Shitanode, Buki-ya demo Hirakou ka to Omoimasu Vol. 4;-/10;N/C;; Hakusensha; 715 ¥
@Ellie Vol. 1;8.73/10;Eriko est une lycéenne discrète que l'on ne remarque pas. Son seul plaisir est d'admirer Akira Ômi, un beau jeune homme plein de fraîcheur, et de tweeter ses fantasmes quotidiens sur Internet sous le pseudo « Ellie ». Mais, un jour, elle découvre par hasard la vraie nature d'Ômi. Et ce dernier prend connaissance des tweets embarrassants d'Ellie… !!;; Kana (Shojo); 13/11/2015
@Ellie Vol. 2;8.32/10;Eriko Ichimura est une lycéenne discrète que l'on ne remarque pas. Ses fantasmes « murmurés » sur Twitter à propos d'Akira Ômi, le garçon le plus populaire du lycée, sont découverts par le principal intéressé. Mais Ômi trouve ça amusant et se rapproche d'Ellie même s'il la qualifie d'obsédée !;; Kana (Shojo); 13/04/2016
@Ellie Vol. 3;8.94/10;Eriko Ichimura est une lycéenne discrète que l'on ne remarque pas. Ses fantasmes et son amour pour Akira Ômi, le garçon le plus populaire du lycée, ne font que s'amplifier. L'apparition d'Aoba, un camarade de classe du collège d'Ômi, fait découvrir à Ellie la vraie nature de l'élu de son cœur. De plus, sur le chemin du retour, après avoir étudié avec elle à la bibliothèque, Ômi lui promet de « reprendre la suite » de leur câlin si elle a une bonne note à l'examen. Ça sent la récompense ?!;; Kana (Shojo); 13/09/2016
@Ellie Vol. 4;9/10;Eriko Ichimura est une lycéenne discrète que l'on ne remarque pas. Elle apprend à connaître le vrai visage de l'insolent Akira Ômi, le garçon le plus populaire du lycée, et en tombe amoureuse. De son côté, Ômi est secoué par l'énergie débordante de l'obsédée Ellie et, au fur et à mesure, il est attiré par elle. Ils finissent par sortir ensemble.  Cependant, pour protéger Ellie, Ômi prend une attitude froide et détachée. Les deux jeunes gens ont du mal à se comprendre. Mais, au tournoi de jeux de balles, ils s'avouent enfin les sentiments qu'ils éprouvent l'un pour l'autre.;; Kana (Shojo); 13/02/2017
@Ellie Vol. 5;9/10;Eriko Ichimura, alias Ellie, fait enfin sa déclaration à Akira Ômi qui s'avère aussi être amoureux d'elle. Ils devaient passer leur premier Noël ensemble, mais Ellie a des mauvaises notes aux examens et doit suivre des cours de rattrapage. À cause d'un malentendu avec Ômi, elle déprime et n'a rien prévu pour Noël. Mais, grâce à M. Shiota qui la pousse un peu, elle apparaît devant Ômi déguisée en père Noël !!;; Kana (Shojo); 13/09/2017
