Title;Description;Origine;Type;Genres;Thèmes;Scénariste;Dessinateur
100 Dollar wa Yasu Sugiru;Dans un monde rempli de chasseurs de primes, les criminels sont moins nombreux que ces chasseurs et à chaque fois qu'un avis de recherche est lancé, il ne reste que peu de temps. Cependant, il existe un avis que personne ne prend, avec une prime négative. Personne ne souhaite attraper ce criminel mais Petey, une jeune chasseuse de primes, est curieuse, et compte bien chercher le criminel a l'aide d'un mystérieux personnage.;Japon - 2008;Shonen;;;Yamamoto Kazune;Yamamoto Kazune
100 jours avant ta mort;Taro a enfin pu avouer à son amie d'enfance Umi qu'il l'aime depuis toujours ! Mais à cet instant, s'affiche le nombre 100 devant la jeune fille... Car Taro a un pouvoir spécial : celui de visualiser un compte à rebours sur tous les êtres vivants qui ont moins de 100 jours à vivre ! Ensemble, le couple va faire face au destin et tenter d'arrêter le décompte fatidique...;Japon - 2018;Shojo;Comédie - Drame - Romance - School Life - Slice of Life;;Migihara;Migihara
100 Nichigoni Kaoni Deru Kashiwada;100 Nichigoni Kaoni Deru Kashiwada est un spin-off du manga Kao ni denai Kashiwada-san to Kao ni deru Oota-kun au format Yonkoma, paraissant quotidiennement sur le compte Twitter de l'auteur. L'histoire est principalement centrée sur le personnage de Kashiwada.;Japon - 2020;Shonen;Comédie - Romance - School Life - Slice of Life - Yonkoma;Amour - Ecole;Azuma Fuyu;Azuma Fuyu
100-Day Dating Plan;Si on vous demande d'être amoureux de quelqu'un dans les 100 jours, l'accepterez-vous ? En raison d'une erreur système, Qing Leng est obligé de former LC Conseils d'amour avec trois garçons et d'enseigner à tout le monde comment aimer, cependant dans cette équipe ce qui est censé être une douce histoire d'amour sur le campus s'avère finalement être un plan énorme et secret qui menace même leur vie...;Chine - 2019;Manhua;Drame - Romance - Slice of Life;Amour - Harem inversé;;
100-mankai no Suki wo Ageru;Lors d'un tournoi au collège, Rui est tombée amoureuse au premier regard de Youhei du club de basket. Rui voulait par tous les moyens que ça soit réciproque mais malheureusement ils furent séparer au lycée. Cependant Rui ne perd pas espoir et s'accroche à ses sentiments!;Japon - 2017;Shojo;;;Shibano Yuka;Shibano Yuka
100-nichigo ni Shinu Wani;100-nichigo ni Shinu Wani est un manga humoristique qui suit le quotidien d'un crocodile destiné à mourir dans 100 jours.;Japon - 2019;Shonen;Aventure - Comédie - Slice of Life;Animaux - Quotidien;Kikuchi Yuki (mangaka);Kikuchi Yuki (mangaka)
100-nin no Eiyuu wo Sodateta Saikyou Yogensha wa, Boukensha ni Natte mo Sekaijuu no Deshi kara Shitawaretemasu@comic;Élevant une centaine de héros et mettant fin à la guerre, Eisen a sauvé le monde. Ayant reçu une grande blessure en protégeant les héros, il partit pour l'autre monde pour récupérer. À cette époque, les héros ont fait usage de leurs capacités pour contribuer grandement au développement du monde. Désireux de retrouver le maître qu'ils admiraient, ils lui ont écrit en détail leurs réalisations. En lisant leurs lettres, Eisen prend la décision de partir et de rendre visite à chacun d'eux alors qu'il parcourt le pays pour visiter.;Japon - 2018;Shonen;Action - Aventure - Comédie - Fantasy;Quotidien - Voyage;Amaui Shiroichi;Hibiki Shin
100% Cotton;Une fille et un garçon se rencontrent à l'un des clubs sportifs de leur école. Leurs personnalités n'ont à voir et ils n'ont pas l'air de pouvoir s'entendre, et pourtant, un amour inattendu va naître entre les deux adolescents.;Japon - 1989;Shojo;;Amour - Club - Sport;Sano Mioko;Sano Mioko
100% Doubt !!;"Ai Maekawa, 15 ans, était une collégienne poursuivit par sa réputation de ""Jimmy"", soit de fille moche et ringarde. Traumatisée par ses mésaventures, elle décide de se reprendre en main dès sont entré au lycée : nouvel établissement où personne ne la connait, régime strict, cure de produits de beauté, etc... La ""Jimmy"" se métamorphose en jolie papillon et est enfin admirée de tous !  Dans ce nouveau lycée, elle pourra aussi peut être trouver l'amour. Mais avec qui ? Mina Satô, un Kogaru un peu délurée, Yûichirô Katô, un gentil garçon ou Sô Ichinose, le garçon le plus populaire de l'école ? Mais les vieilles habitudes ont la peau dure... Ai pourra-t-elle cacher si facilement son passé ?";Japon - 2000;Shojo;Comédie - Drame - Romance - School Life;;Izumi Kaneyoshi;Izumi Kaneyoshi
100% Gokuama Kareshi!;"Petite anthologie d'histoires écrites par différentes auteures.  1. Kodomo Jya, Naino - Ririko Yoshioka  Nano et Ryou sont deux amis d'enfances très proche l'un l'autre. Quand ils était jeunes Nano promis à Ryou de le protéger de tous les dangers comme le ferait une grande sœur. Mais quelques années plus tard, les rôles se sont peut-être inversés.  2. Natsu ga Chikai - Ayako Kimura  Asamizu aime Tsuji Hideto et, afin de pouvoir lui parler tous les jours, elle viole délibérément les règlements de l'école afin de lui convenir.  3. HOLE - Kirameku Sekai - Rie Takahashi  Il n'arrêtait pas de la regarder. Elle ne pouvait pas s'empêcher de le regarder. Je n'ai jamais confessé mes sentiments à mon amour non partagé. Afin de changer une vie de regret maintenant, elle passe par l'ouverture! Ils n'ont jamais avoué leurs sentiments. Kazuma déménagea et un événement improbable arriva. Que deviendra la vie pleine de regrets de Wakaki ?  4. BURNIN' VALENTINE - Kinoko Higurashi  Kazuki et Souma sont des ""amis"" depuis trois ans. Kazuki a finalement décidé de se confesser et elle essaie de lui donner des chocolats faits à la main, mais ...?!  5. Koizaki - Megumi Higuchi  Le destin a mis Karuto et Riko dans la même classe ! Leur amour s'épanouira-t-il comme une fleur de cerisier?!  6. Mame to Kurasu - Okinoko  Dans ce chapitre, nous suivons la très douce relation amoureuse entre le mystérieux Mame, et l'élève Makoto.";Japon - 2009;Anthologie;Comédie - Drame - Histoires courtes - Romance - School Life;;;
